[1618510752338029] [ReadPayload] Status: Started new logger at ./read_payload.log
[1618510752338047] [ReadPayload] Payload filename: payload.jpeg
[1618510752355273] [ReadPayload] Pushing fragment: 408
[1618510752355281] [ReadPayload] Pushing fragment: 409
[1618510752355288] [ReadPayload] Pushing fragment: 410
[1618510752355294] [ReadPayload] Pushing fragment: 411
[1618510752355301] [ReadPayload] Pushing fragment: 412
[1618510752355308] [ReadPayload] Pushing fragment: 413
[1618510752355314] [ReadPayload] Pushing fragment: 414
[1618510752355322] [ReadPayload] Pushing fragment: 415
[1618510752355328] [ReadPayload] Pushing fragment: 416
[1618510752355334] [ReadPayload] Pushing fragment: 417
[1618510752355341] [ReadPayload] Pushing fragment: 418
[1618510752355348] [ReadPayload] Pushing fragment: 419
[1618510752355355] [ReadPayload] Pushing fragment: 420
[1618510752355361] [ReadPayload] Pushing fragment: 421
[1618510752355368] [ReadPayload] Pushing fragment: 422
[1618510752355375] [ReadPayload] Pushing fragment: 423
[1618510752355381] [ReadPayload] Pushing fragment: 424
[1618510752355388] [ReadPayload] Pushing fragment: 425
[1618510752355395] [ReadPayload] Pushing fragment: 426
[1618510752355401] [ReadPayload] Pushing fragment: 427
[1618510752355409] [ReadPayload] Pushing fragment: 428
[1618510752355415] [ReadPayload] Pushing fragment: 429
[1618510752355421] [ReadPayload] Pushing fragment: 430
[1618510752355428] [ReadPayload] Pushing fragment: 431
[1618510752355435] [ReadPayload] Pushing fragment: 432
[1618510752355441] [ReadPayload] Pushing fragment: 433
[1618510752355448] [ReadPayload] Pushing fragment: 434
[1618510752355455] [ReadPayload] Pushing fragment: 435
[1618510752355461] [ReadPayload] Pushing fragment: 436
[1618510752355468] [ReadPayload] Pushing fragment: 437
[1618510752355474] [ReadPayload] Pushing fragment: 438
[1618510752355481] [ReadPayload] Pushing fragment: 439
[1618510752355487] [ReadPayload] Pushing fragment: 440
[1618510752355496] [ReadPayload] Pushing fragment: 441
[1618510752355502] [ReadPayload] Pushing fragment: 442
[1618510752355509] [ReadPayload] Pushing fragment: 443
[1618510752355516] [ReadPayload] Pushing fragment: 444
[1618510752355522] [ReadPayload] Pushing fragment: 445
[1618510752355529] [ReadPayload] Pushing fragment: 446
[1618510752355537] [ReadPayload] Pushing fragment: 447
[1618510752355543] [ReadPayload] Pushing fragment: 448
[1618510752355550] [ReadPayload] Pushing fragment: 449
